지점,지점명,일시,합계 일사량(MJ/m2)
90,속초,2022-08,0
90,속초,2024-04,211.45
90,속초,2024-05,646.8
90,속초,2024-06,687.49
90,속초,2024-07,498.29
90,속초,2024-08,588.88
90,속초,2024-09,336.95
90,속초,2024-10,291.84
90,속초,2024-11,269.69
90,속초,2024-12,269.29
90,속초,2025-01,284.1
90,속초,2025-02,401.34
90,속초,2025-03,452.05
90,속초,2025-04,604.54
90,속초,2025-05,628.93
90,속초,2025-06,607
90,속초,2025-07,584.93
90,속초,2025-08,565.92
90,속초,2025-09,410.63
90,속초,2025-10,219.42
90,속초,2025-11,309.83
90,속초,2025-12,250.35
93,북춘천,2016-10,381.67
93,북춘천,2016-11,259.88
93,북춘천,2016-12,204.42
93,북춘천,2017-01,286.3
93,북춘천,2017-02,356.79
93,북춘천,2017-03,436.28
93,북춘천,2017-04,560.07
93,북춘천,2017-05,645.7
93,북춘천,2017-06,656.82
93,북춘천,2017-07,421.28
93,북춘천,2017-08,438.14
93,북춘천,2017-09,480.31
93,북춘천,2017-10,366.06
93,북춘천,2017-11,267.52
93,북춘천,2017-12,248.12
93,북춘천,2018-01,297.61
93,북춘천,2018-02,345.45
93,북춘천,2018-03,434.45
93,북춘천,2018-04,505.89
93,북춘천,2018-05,577.58
93,북춘천,2018-06,628.31
93,북춘천,2018-07,520.07
93,북춘천,2018-08,464.48
93,북춘천,2018-09,397.14
93,북춘천,2018-10,314.48
93,북춘천,2018-11,206.42
93,북춘천,2018-12,216.07
93,북춘천,2019-01,251.44
93,북춘천,2019-02,324.29
93,북춘천,2019-03,431.23
93,북춘천,2019-04,525.84
93,북춘천,2019-05,742.98
93,북춘천,2019-06,652.98
93,북춘천,2019-07,494.97
93,북춘천,2019-08,583.7
93,북춘천,2019-09,395.49
93,북춘천,2019-10,372.17
93,북춘천,2019-11,272.42
93,북춘천,2019-12,217.32
93,북춘천,2020-01,278.76
93,북춘천,2020-02,331.85
93,북춘천,2020-03,509.82
93,북춘천,2020-04,605.88
93,북춘천,2020-05,583.23
93,북춘천,2020-06,650.42
93,북춘천,2020-07,511.36
93,북춘천,2020-08,356.98
93,북춘천,2020-09,421.25
93,북춘천,2020-10,420.29
93,북춘천,2020-11,287.49
93,북춘천,2020-12,268.95
93,북춘천,2021-01,274.71
93,북춘천,2021-02,366.24
93,북춘천,2021-03,471.84
93,북춘천,2021-04,564.07
93,북춘천,2021-05,569.66
93,북춘천,2021-06,599.05
93,북춘천,2021-07,697.93
93,북춘천,2021-08,480.64
93,북춘천,2021-09,464.07
93,북춘천,2021-10,342.76
93,북춘천,2021-11,271.29
93,북춘천,2021-12,252.38
93,북춘천,2022-01,314.35
93,북춘천,2022-02,380.96
93,북춘천,2022-03,427.61
93,북춘천,2022-04,620.33
93,북춘천,2022-05,716.21
93,북춘천,2022-06,497.81
93,북춘천,2022-07,582.61
93,북춘천,2022-08,421.2
93,북춘천,2022-09,496.4
93,북춘천,2022-10,382.09
93,북춘천,2022-11,275.44
93,북춘천,2022-12,275.54
